customer_tweet_id,customer_id,customer_created_at,customer_text,conversation_root,historical_replies,num_historical_replies,text_length,candidate_intent,intent,should_escalate,escalation_reason,label_source
2670063,751958,Sun Nov 19 11:08:46 +0000 2017,@120474 can you tell us why we brought 2 @263821 tickets only to get an email saying there was a problem with our order 5 mins later?,2670063,['@751958 Hi Samantha. Did the email explain further what caused the issue? ^NV'],1,116,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
775344,305259,Thu Oct 12 03:19:54 +0000 2017,"@AmazonHelp Yes, it was supposed to be delivered yesterday (ordered 4th, promised shipment date 11th). Amazon failed to deliver.",775344,"[""@305259 Request you to report the issue to our support team here: https://t.co/URipWlRRiu and we'll be happy to help. ^SH""]",1,110,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
2858116,794308,Mon Nov 27 21:55:59 +0000 2017,Another delayed @AmazonHelp delivery. I can't even be arsed contacting them about this anymore. It happens pretty much every single time. 😒,2858116,"[""@794308 This isn't what we like to hear! Have you received an updated delivery date yet? ^BH""]",1,122,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
1177143,396877,Wed Oct 25 03:26:35 +0000 2017,@AmazonHelp This is me letting you know my package isn't here. This is bullshit. I'm tired of all these damn delays lately.,1177143,['@396877 Late order generally arrive within 1-2 business days. Please keep us posted. ^LH'],1,108,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
877616,192844,Sat Oct 21 04:44:37 +0000 2017,@AmazonHelp I am sure you have escalated the issue and will make the delivery even faster. *Just want date by which delivery must happen.* date plz ?,877616,"['@192844 I understand the urgency, Predhin. Please respond to the email from us for further information on delivery. ^JC']",1,131,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
393568,209218,Mon Oct 09 17:09:39 +0000 2017,Still waiting on a delivery from Amazon. I'd love to know who gets the morning slots as it's never me. https://t.co/TBWmQ9RmWj,393568,['@209218 Waiting is always the hardest part! 😪 Keep us updated on the arrival. ^HC'],1,100,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
1645171,502728,Mon Nov 06 01:22:03 +0000 2017,Last 2 @115821 #prime packages missed delivery date 1 is 3 days late &amp; counting The other missed date today #slipping #customerservice,1645171,"[""@502728 I'm so sorry for the delay. Will you tell us the most recent tracking update shown here: https://t.co/Y5jpI9gRhE. ^LH""]",1,121,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
1585314,151082,Sat Nov 04 20:54:49 +0000 2017,When you have Amazon prime &amp; your package is late and then shows delivery now between 5 th and 8th but check Back on Thursday 😡 #amazonfail,1585314,"[""@151082 I'm sorry for the delayed order, Ange! I know waiting is not fun at all! Please reach us here: https://t.co/JzP7hlA23B  ^FR""]",1,134,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
272878,181164,Fri Oct 06 03:51:48 +0000 2017,@115821 parcel saying deliverd but it's not turned up. Apparently it was signed for by me. It's 2 days late and was for my mum's 60th. Sad,272878,['@181164 Oh no! Please reach out to us here so we can look into available option with you: https://t.co/Q4QRyOICQ6 ^CL'],1,127,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
2537509,483864,Thu Nov 16 08:34:30 +0000 2017,@AmazonHelp Seriously? Yet another delayed parcel? https://t.co/7Gy2it4szQ,2537509,"['@483864 Hello, Apologies for the delayed parcel. It does seem the parcel was sent to an incorrect location. We will update the tracking as soon as possible.^CR']",1,36,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
568320,253340,Sun Dec 03 02:35:38 +0000 2017,"@115821 I don’t know what’s worse, the fact that I’m a prime member and my “guaranteed” delivery time is of course delayed, or that this is the grammar knowledge of amazon’s representative. https://t.co/TntDsds5vh",568320,"[""@253340 I'm sorry for the poor experience! If you received an e-mail after your contact with us, please fill out the survey at the bottom. This feedback will be sent to the agent's leadership for review. Let us know if you don't receive your order by Monday! ^SB""]",1,176,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
493357,232619,Fri Dec 01 17:15:48 +0000 2017,@115821 it is giving me a hard time with my prime benefits im not getting my package on time plus they lost one last week this week my package was delayed again and most likely to get lost again,493357,"['@232619 My apologies for the inconvenience, Guillermo. Have you received any emails indicating the reason for the delay? What does the current tracking show? You can find this information in your orders by going here: https://t.co/Y5jpI9gRhE ^RB']",1,186,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
2335201,675711,Fri Oct 20 02:30:25 +0000 2017,@AmazonHelp hello please help me my package was suppose to be here by 8pm PST and i had gotten a notification saying “4:02 PMDelivery Delay” at around 2pm which doesnt make any sense,2335201,['@675711 We appreciate contacting us here today. What does the current tracking info state here: https://t.co/q4LAMZ3tbE? ^GG'],1,168,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
1850543,553981,Wed Oct 18 09:51:12 +0000 2017,@AmazonHelp It’s down for delivery 19th But my brothers should of been delivered today but was told they had to obtain it that tells me its not in stock,1850543,"[""@553981 Is your brother's order on your account?  What delivery date is showing for it?^CD""]",1,140,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
1771875,532580,Wed Nov 08 01:12:55 +0000 2017,"I️’be been a loyal Amazon Prime customer for years, I️ am disappointed because I’m still waiting on my package...  #Amazon #AmazonPrime",1771875,"[""@532580 I'm sorry your order hasn't arrived! What is the current status of the order: https://t.co/Y5jpI9gRhE ? ^DD""]",1,126,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
810792,313191,Fri Oct 13 04:42:16 +0000 2017,@AmazonHelp No value for sorry and priority in your company. Prepaid order of 33k delayed 10days &amp; it showed delivered in the app without delivering it.,810792,"['@313191 Hey, just to confirm, have you reverted to our last correspondence to you via email as requested earlier? ^AB']",1,136,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
2440781,700007,Tue Nov 14 22:46:45 +0000 2017,@115821 why is it that every time I pre order something I ALWAYS get a message the day of saying it’s going to be delayed? What’s the point of pre ordering with you WHEN I ALSO HAVE PRIME?! Please fix this❌,2440781,"['@700007 If your orders are arriving later than the estimate, please contact us so we can review your options: https://t.co/EKXRLsnxJu ^AF']",1,194,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
1780114,534825,Tue Oct 17 22:36:46 +0000 2017,@AmazonHelp ordered a hat it was supposed to come on the 3rd still has yet to come 😤,1780114,['@534825 Oh No! Sorry to hear. What is the tracking status of the order? You check the status here: \n https://t.co/Y5jpI9gRhE  ^CH'],1,70,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
1050394,368237,Sun Nov 26 08:13:14 +0000 2017,"@AmazonHelp I have had several orders go this way, the latest being a prime item that was ordered on 11/22, shipped on 11/24, but will not arrive until 11/28.",1050394,['@368237 Who is the carrier of the order? Is there any reason given for the delay? You can find the carrier on the tracking here:  https://t.co/Y5jpI9gRhE ^MI'],1,142,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
480540,229199,Fri Dec 01 12:25:16 +0000 2017,"@115830 When I rang asking why my delivery was 3 days late I didn't ask to reschedule anything. Your courier is simply not coming to my house! Missed it Tuesday,  Wednesday, Thursday now this! #Shambles https://t.co/8TAUCZnCQN",480540,"[""@229199 I'm so sorry to hear about the delay, John!  When was the last time you rang us?  ^WB""]",1,187,DELIVERY_DELAY,DELIVERY_DELAY,,,ai_annotated_rule_based
132372,145862,Thu Nov 23 08:46:43 +0000 2017,@AmazonHelp I ordered item Order # 026-9925496-9968316 on the 17th Nov via Prime. It has still not arrived. Any ideas where it is??? Not happy!,132372,['@145862 Sorry to hear this - however we can not access your account via Twitter. What was the delivery date provided in the order confirmation email ? ^TD'],1,123,DELIVERED_NOT_RECEIVED,DELIVERED_NOT_RECEIVED,,,ai_annotated_rule_based
